icao,length_ft,width_ft,surface,le_ident,le_latitude,le_longitude,le_elevation_ft,le_displaced_ft,he_ident,he_latitude,he_longitude,he_elevation_ft,he_displaced_ft
0FD9,1975,60,Turf,04,,,,,22,,,,
0FL0,2300,100,Turf,14,,,,,32,,,,
0FL1,2575,50,Turf,09,,,,750,27,,,,500
0FL9,3400,116,Turf,09,,,,300,27,,,,825
0FL9,2750,100,Turf,17,,,,200,35,,,,410
0G0,2830,50,Asphalt,10,43.10333,-78.70867,588.0,,28,43.10317,-78.698,588.4,355
0GA0,2150,50,Turf,01,,,,,19,,,,
0GA1,2000,75,Turf,13,,,,,31,,,,
0GA2,2600,60,Turf,08,,,,,26,,,,
0GA3,2000,100,Turf,18,,,,,36,,,,
0GA6,2100,150,Turf,15,,,,,33,,,,
0GA8,3000,100,Turf,03,,,,,21,,,,
0GA9,3500,125,Turf,07,32.71167,-84.03383,505.0,,25,32.7155,-84.02333,505.0,
0GE0,2000,30,Turf,02,,,,,20,,,,
0GE1,3000,40,Gravel-Treated,04,,,,,22,,,,
0GE3,2000,50,Turf,02,34.90017,-85.461,646.0,,20,34.9055,-85.45983,646.0,
0GE4,1045,80,Turf,09,,,,,27,,,,
0GE4,1000,80,Turf,18,,,,,36,,,,
0GE5,2500,130,Turf,N,,,,,S,,,,
0GE7,3000,90,Turf,01,,,,,19,,,,
0GE9,2000,100,Turf,03,,,,,21,,,,
0H7,2680,115,Turf,10,40.42233,-91.71133,694.0,318,28,40.42117,-91.70183,692.0,260
0I2,2941,40,Asphalt,09,39.47683,-87.105,645.0,620,27,39.47667,-87.0945,631.0,442
0IA4,3000,100,Turf,09,,,,,27,,,,
0IA5,2000,60,Turf,17,,,,,35,,,,
0IA8,1280,70,Turf,18,,,,,36,,,,
0ID0,3000,80,Turf,07,,,,,25,,,,
0ID1,1900,75,Turf,10,,,,,28,,,,
0ID2,7507,75,Asphalt,11,,,,,29,,,,
0ID3,2640,50,Dirt,07,,,,,25,,,,
0ID4,3150,80,Turf,04,,,,,22,,,,
0ID7,2600,50,Dirt,02,,,,,20,,,,
0ID8,800,50,Turf,09,,,,,27,,,,
0ID9,2308,60,Turf-Gravel,06,46.7845,-116.4755,2803.0,,24,46.78617,-116.46667,2895.0,
0II0,1500,50,Turf,E,,,,,W,,,,
0II2,1300,75,Turf,09,,,,,27,,,,
0II7,2500,100,Turf,N,,,,,S,,,,
0II8,1400,100,Turf,01,,,,,19,,,,
0II9,1600,75,Turf,18,,,,,36,,,,
0IL2,1600,100,Turf,18,,,,,36,,,,
0IL8,1600,100,Turf,N,,,,,S,,,,
0IL9,2800,100,Turf,E,,,,,W,,,,
0IN1,2000,75,Turf,15,,,,300,33,,,,300
0IN2,2900,60,Turf,18,,,,,36,,,,
0IN2,1300,60,Turf,09,,,,,27,,,,
0IN3,2200,50,Turf,E,,,,,W,,,,
0IN4,2440,30,Asphalt,NW,,,,,SE,,,,
0IN5,1200,150,Turf,09,,,,,27,,,,
0IN9,2400,100,Turf,E,,,,,W,,,,
0IS3,2500,60,Turf-Gravel,18,,,,,36,,,,
0J0,2900,80,Asphalt-Concrete,17,31.60417,-85.239,463.1,300,35,31.59633,-85.23767,462.8,
0J8,3200,170,Turf,18,29.62333,-82.50883,90.0,,36,29.6145,-82.50867,85.0,
0K6,1575,150,Turf,17,,,,,35,,,,
0KS0,2600,100,Turf,17,,,,,35,,,,
0KS4,2150,65,Turf,18,,,,,36,,,,
0KS7,2000,75,Turf,18,37.703,-97.88717,1510.0,,36,37.6975,-97.88717,1503.0,
0KS8,1550,40,Turf,17,37.38367,-95.37583,952.0,,35,37.3795,-95.37583,937.0,
0KS9,3000,150,Turf,05,37.51267,-96.92533,1274.0,,23,37.5185,-96.918,1302.0,
0KY0,2300,80,Turf,13,,,,,31,,,,
0KY1,3200,75,Asphalt,10,,,,,28,,,,
0KY5,2800,100,Turf,07,,,,,25,,,,
0KY7,2200,60,Turf,N,,,,,S,,,,
0L4,6100,80,Dirt,18,37.5,-117.1855,4682.0,,36,37.48383,-117.19117,4627.0,
0L5,3150,37,Gravel,17,37.72633,-117.23533,5571.0,,35,37.71783,-117.2375,5616.0,
0LA1,3000,100,Turf,17,,,,,35,,,,
0LA3,2700,180,Turf,09,,,,1000,27,,,,
0LA9,3600,100,Turf,17,,,,,35,,,,
0LL0,2030,70,Turf,09,,,,,27,,,,
0LL1,2500,120,Turf,18,,,,,36,,,,
0LL3,2000,100,Turf,06,,,,,24,,,,
0LL4,2143,100,Turf,09,,,,,27,,,,
