icao,length_ft,width_ft,surface,le_ident,le_latitude,le_longitude,le_elevation_ft,le_displaced_ft,he_ident,he_latitude,he_longitude,he_elevation_ft,he_displaced_ft
YBKT,4501,150,Hard,03,-17.75517,139.531,21,,21,-17.746,139.53967,18,
YBKT,2484,90,Unknown,14,-17.7495,139.5265,21,,32,-17.754,139.53183,21,
YBLA,3422,60,Soft,08R,-36.552,146.00667,566,,26L,-36.55267,146.01833,569,
YBLA,2356,98,Unknown,17R,-36.54967,146.00467,561,,35L,-36.55617,146.00533,565,
YBLC,,,Unknown,,,,,,,,,,
YBLL,,,Unknown,,,,,,,,,,
YBLN,5906,98,Hard,03,-33.69483,115.39783,55,,21,-33.68017,115.40617,55,
YBLT,4150,98,Hard,05,-37.51267,143.7865,1426,,23,-37.50717,143.799,1429,
YBLT,4085,98,Unknown,18,-37.50683,143.795,1426,,36,-37.518,143.79283,1431,
YBLT,1864,98,Unknown,13,-37.5055,143.78733,1421,,31,-37.509,143.792,1429,
YBLU,6561,98,Soft,01,-27.62167,120.59317,1536,,19,-27.60383,120.59567,1555,
YBMA,8399,150,Hard,16,-20.655,139.48583,1102,,34,-20.67767,139.49117,1111,
YBMC,5896,98,Hard,18,-26.59433,153.09433,11,,36,-26.61,153.09,11,
YBMC,2133,59,Unknown,12,-26.60067,153.08617,11,,30,-26.60433,153.09117,14,
YBMI,,,Unknown,,,,,,,,,,
YBMK,6499,148,Hard,14,-21.16317,149.1775,17,,32,-21.17833,149.18767,14,
YBMK,4410,98,Unknown,05,-21.17533,149.17467,19,187,23,-21.16917,149.18517,13,
YBMY,,,Unknown,,,,,,,,,,
YBNA,6234,98,Hard,06,-28.83583,153.55183,7,,24,-28.83083,153.5705,7,
YBNS,3612,98,Hard,04,-37.89033,147.56433,165,,22,-37.88467,147.5745,155,
YBNS,2789,60,Unknown,14,-37.88333,147.56583,163,,32,-37.88967,147.57133,160,
YBOA,,,Unknown,,,,,,,,,,
YBOC,,,Unknown,,,,,,,,,,
YBOI,,,Soft,,,,,,,,,,
YBOK,5410,98,Hard,14,-27.40267,151.73717,1334,,32,-27.41483,151.74667,1335,
YBOK,3278,75,Unknown,09,-27.40917,151.7245,1324,,27,-27.41067,151.7345,1332,
YBOK,2999,98,Unknown,05,-27.40617,151.73083,1329,,23,-27.40133,151.73833,1335,
YBOM,,,Unknown,,,,,,,,,,
YBOR,,,Unknown,,,,,,,,,,
YBOU,4180,98,Hard,14,-22.9075,139.8975,542,,32,-22.9175,139.90383,533,
YBPI,,,Unknown,,,,,,,,,,
YBPN,6801,148,Hard,11,-20.4905,148.54417,58,,29,-20.49867,148.562,47,
YBRK,8425,148,Hard,15,-23.36917,150.4705,36,,33,-23.39067,150.48017,28,
YBRK,5397,98,Unknown,04,-23.3825,150.46533,31,,22,-23.37333,150.47817,32,
YBRL,4089,59,Hard,02,-16.08117,136.30033,52,,20,-16.07067,136.30483,55,
YBRM,7769,148,Hard,10,-17.94583,122.2165,56,,28,-17.95133,122.237,22,394
YBRN,3888,60,Hard,18,-34.6195,143.57783,210,,36,-34.63017,143.5765,210,
YBRN,2133,98,Unknown,08,-34.62183,143.57583,210,,26,-34.62167,143.58283,210,
YBRS,,,Unknown,,,,,,,,,,
YBRW,4547,98,Hard,03,-29.98083,146.81017,414,,21,-29.97067,146.8185,414,
YBRY,6365,98,Hard,10,-22.67233,119.1575,2056,100,28,-22.67683,119.17517,2056,100
YBSG,10003,148,Hard,12,-12.61517,142.077,145,,30,-12.63133,142.09983,145,
YBSS,,,Unknown,,,,,,,,,,
YBTH,5594,98,Hard,17,-33.40083,149.65067,2391,,35,-33.41617,149.652,2434,
YBTH,4314,98,Unknown,08,-33.40667,149.64933,2396,,26,-33.40683,149.66333,2423,
YBTI,4823,98,Hard,15,-11.759,130.61233,34,76,33,-11.77033,130.619,64,
YBTL,7999,148,Hard,01,-19.25833,146.76467,18,,19,-19.23817,146.77417,13,
YBTL,3609,98,Unknown,07,-19.25583,146.7555,12,,25,-19.253,146.7655,14,
YBTR,5023,98,Hard,18,-23.5995,148.80633,620,1180,36,-23.61,148.805,657,
YBUD,5030,98,Hard,14,-24.8975,152.317,101,329,32,-24.90833,152.32467,101,
YBUD,3701,98,Unknown,07,-24.90633,152.31383,107,,25,-24.90267,152.32417,101,
YBUN,,,Soft,,,,,,,,,,
YBWG,6692,98,Hard,09,-27.36633,121.02433,1644,,27,-27.36583,121.045,1612,
YBWN,4291,59,Soft,04,-20.02333,148.209,26,,22,-20.01583,148.21783,15,223
YBWN,2956,59,Unknown,12,-20.01467,148.2105,22,,30,-20.01933,148.2175,15,
YBWP,5397,98,Hard,12,-12.67317,141.91617,57,,30,-12.68167,141.92867,63,
YBWW,,,Hard,,,,,,,,,,
YBWX,6234,98,Hard,03,-20.869,115.40267,25,,21,-20.85367,115.41083,17,
YBYL,,,Hard,,,,,,,,,,
YBYS,,,Unknown,,,,,,,,,,
YCAB,,,Unknown,,,,,,,,,,
YCAG,,,Unknown,,,,,,,,,,
YCAH,,,Soft,,,,,,,,,,
YCAR,5509,98,Hard,04,-24.88667,113.66383,7,,22,-24.876,113.675,13,122
YCAR,3740,98,Unknown,18,-24.87883,113.66633,9,,36,-24.889,113.66633,7,
YCAS,3609,98,Hard,10,-28.88183,153.05517,76,,28,-28.88267,153.06633,67,
YCBA,4984,98,Hard,05,-31.5415,145.78717,704,,23,-31.53367,145.80033,722,
YCBA,4006,98,Unknown,17,-31.53533,145.7945,711,,35,-31.54633,145.79567,716,
YCBB,4987,98,Hard,11,-31.32717,149.256,2104,,29,-31.3345,149.2695,2117,
YCBB,2129,98,Unknown,01,-31.335,149.27033,2116,,19,-31.32983,149.27367,2108,
YCBG,,,Hard,,,,,,,,,,
YCBP,4685,98,Soft,04,-29.04433,134.71433,729,,22,-29.03583,134.7255,740,
YCBP,2720,98,Unknown,14,-29.0365,134.721,736,,32,-29.043,134.72517,734,
YCBR,,,Soft,,,,,,,,,,
YCCA,3497,59,Hard,14,-26.76817,150.61433,1028,,32,-26.77567,150.62083,1028,
YCCT,,,Unknown,,,,,,,,,,
YCCY,6562,98,Hard,12,-20.66017,140.49983,612,,30,-20.67133,140.51467,613,
YCCY,3796,60,Unknown,06,-20.67033,140.4985,611,,24,-20.66633,140.50883,616,
YCDE,,,Soft,,,,,,,,,,
YCDH,,,Unknown,,,,,,,,,,
YCDO,4501,98,Hard,01,-33.07017,147.21067,632,,19,-33.059,147.21683,650,
YCDO,3947,98,Unknown,10,-33.063,147.19983,635,,28,-33.06583,147.21217,634,
YCDR,,,Unknown,,,,,,,,,,
YCDU,5709,98,Hard,11,-32.12783,133.698,57,,29,-32.1335,133.71533,74,
YCDU,3327,98,Unknown,17,-32.12667,133.71267,73,,35,-32.13567,133.71383,71,
YCEE,4429,59,Hard,08,-33.71017,136.49917,589,,26,-33.71033,136.51383,589,
YCEE,2936,59,Unknown,18,-33.70767,136.50433,589,,36,-33.71567,136.504,589,
YCEL,,,Soft,,,,,,,,,,
YCEM,,,Unknown,,,,,,,,,,
YCES,,,Soft,,,,,,,,,,
YCFN,,,Soft,,,,,,,,,,
YCGO,3219,59,Hard,17,-17.1335,144.52833,1097,,35,-17.14233,144.52883,1123,
YCHK,,,Hard,,,,,,,,,,
YCHT,5699,100,Hard,06,-20.04967,146.2645,955,,24,-20.0425,146.2795,955,
YCIN,10010,148,Hard,11,-17.57567,123.81517,254,,29,-17.58517,123.842,300,
YCKI,,,Hard,,,,,,,,,,
YCKN,5335,98,Hard,11,-15.44067,145.1755,24,,29,-15.44617,145.18967,13,
YCLQ,3675,82,Unknown,13,-16.39683,122.92783,75,,31,-16.404,122.93517,44,
YCMH,,,Unknown,,,,,,,,,,
YCMM,,,Unknown,,,,,,,,,,
YCMT,4301,98,Hard,15,-22.76683,147.6165,905,,33,-22.77783,147.62117,895,
YCMT,3504,98,Unknown,01,-22.77467,147.621,890,,19,-22.76617,147.62583,855,
YCMU,5686,98,Hard,12,-28.02667,145.61967,630,,30,-28.03683,145.63317,625,
YCMU,2999,59,Unknown,06,-28.03333,145.6145,630,,24,-28.03017,145.623,627,
YCMW,4062,59,Hard,13,-19.9105,138.12067,778,,31,-19.9185,138.129,780,
YCNF,6690,98,Hard,12,-21.66983,121.58783,968,,30,-21.67867,121.60517,968,
YCNK,3600,60,Hard,17,-32.78333,151.339,211,,35,-32.79333,151.33767,211,
YCNM,5010,98,Hard,05,-30.98633,148.36933,597,,23,-30.97817,148.38217,597,
YCNM,1903,98,Unknown,12,-30.97683,148.374,593,,30,-30.98,148.37867,604,
YCNY,5734,98,Hard,14,-18.75383,138.70517,411,,32,-18.76367,138.71333,416,1129
YCOE,3967,98,Hard,11,-13.76067,143.112,521,,29,-13.76483,143.12217,533,
YCOH,,,Soft,,,,,,,,,,
YCOM,6955,148,Hard,18,-36.291,148.975,3049,233,36,-36.30917,148.97,3088,
YCOM,2041,59,Unknown,14,-36.30483,148.9695,3073,,32,-36.30967,148.973,3106,
YCOO,,,Unknown,,,,,,,,,,
YCOR,5994,148,Hard,05,-36.00083,146.34467,461,,23,-35.99117,146.361,464,
YCOR,5000,98,Unknown,14,-35.98317,146.3465,462,,32,-35.99383,146.35617,463,148
YCRG,4596,98,Hard,06,-36.1855,147.8795,962,,24,-36.1815,147.89417,949,
YCRL,,,Unknown,,,,,,,,,,
YCRY,,,Soft,,,,,,,,,,
YCSV,,,Unknown,,,,,,,,,,
YCTM,4682,60,Hard,16,-34.61717,148.03567,1102,,34,-34.62733,148.03683,1109,985
YCTM,2805,98,Unknown,10,-34.62417,148.02867,1096,,28,-34.62683,148.03733,1108,
YCTN,,,Soft,,,,,,,,,,
YCUA,4445,59,Hard,09,-33.27717,148.76383,1610,,27,-33.27967,148.778,1610,
YCUE,,,Unknown,,,,,,,,,,
YCUN,6089,148,Hard,05,-31.62783,117.2095,689,,23,-31.61667,117.22383,705,
YCUN,4997,148,Unknown,14,-31.61667,117.21133,700,,32,-31.62717,117.222,694,
YCUS,4124,59,Hard,17,-34.203,135.633,197,,35,-34.21417,135.6345,197,
YCVA,,,Soft,,,,,,,,,,
YCVG,,,Unknown,,,,,,,,,,
YCWA,6398,98,Hard,08,-22.9675,118.80533,2281,247,26,-22.96567,118.82283,2327,247
YCWL,,,Soft,,,,,,,,,,
YCWR,5348,98,Hard,15,-33.83917,148.64483,960,,33,-33.85317,148.6505,966,
YCWR,3825,60,Unknown,03,-33.84633,148.64333,955,,21,-33.8385,148.65167,966,
YCWS,,,Unknown,,,,,,,,,,
YCXA,,,Unknown,,,,,,,,,,
YDAL,,,Unknown,,,,,,,,,,
YDAY,4160,75,Hard,13,-27.15383,151.2625,1137,,31,-27.16283,151.27083,1137,
YDBI,3993,60,Hard,01,-28.59583,148.2135,567,,19,-28.58567,148.218,567,
YDBR,,,Unknown,,,,,,,,,,
YDBY,5696,98,Hard,11,-17.36883,123.6535,18,,29,-17.37433,123.66883,24,
YDBY,3799,59,Unknown,05,-17.3745,123.65833,23,,23,-17.36883,123.66733,19,
YDEK,,,Hard,,,,,,,,,,
YDGA,,,Soft,,,,,,,,,,
YDKI,,,Unknown,,,,,,,,,,
YDLO,6506,98,Soft,14,-27.868,121.26383,1483,,32,-27.88,121.27883,1513,
YDLQ,4879,98,Hard,12,-35.5525,144.94283,309,,30,-35.563,144.95317,309,
YDLQ,3999,98,Unknown,06,-35.561,144.94033,314,,24,-35.55667,144.95267,309,
YDLT,,,Unknown,,,,,,,,,,
YDLV,,,Unknown,,,,,,,,,,
YDMG,5449,98,Hard,12,-17.93317,138.80767,159,,30,-17.94067,138.82117,156,
YDNI,,,Unknown,,,,,,,,,,
YDOC,,,Soft,,,,,,,,,,
YDOD,3825,60,Hard,09,-36.35967,143.00467,409,,27,-36.361,143.0175,409,
YDOD,2585,98,Unknown,18,-36.36083,143.0075,409,,36,-36.368,143.00617,409,
YDOP,,,Soft,,,,,,,,,,
YDOR,,,Unknown,,,,,,,,,,
YDPD,,,Unknown,,,,,,,,,,
YDPO,6030,148,Hard,06,-41.16967,146.41917,18,,24,-41.16583,146.44033,22,
YDPO,2887,98,Unknown,14,-41.16567,146.4285,33,,32,-41.173,146.43283,33,
YDRD,,,Unknown,,,,,,,,,,
YDRH,,,Unknown,,,,,,,,,,
YDRI,,,Unknown,,,,,,,,,,
YDUN,,,Unknown,,,,,,,,,,
YDVR,,,Unknown,,,,,,,,,,
YDWF,,,Soft,,,,,,,,,,
YDYS,5085,98,Hard,14,-22.61667,148.359,682,,32,-22.62833,148.3675,673,
YECH,3615,60,Hard,17,-36.15783,144.762,321,,35,-36.16767,144.76233,322,
YELD,4724,98,Hard,10,-12.01817,135.56833,101,,28,-12.02033,135.58133,88,
YELN,,,Unknown,,,,,,,,,,
YELW,,,Unknown,,,,,,,,,,
YEMG,,,Unknown,,,,,,,,,,
YEML,6234,98,Hard,06,-23.57217,148.17117,620,,24,-23.5665,148.18867,605,
YEML,3038,59,Unknown,15,-23.56483,148.17483,611,,33,-23.57217,148.17917,615,
YEMP,,,Soft,,,,,,,,,,
YERN,,,Unknown,,,,,,,,,,
YESC,,,Soft,,,,,,,,,,
YESE,,,Soft,,,,,,,,,,
YESP,5905,98,Hard,11,-33.67933,121.81267,444,,29,-33.68517,121.83083,469,
YESP,3865,59,Unknown,03,-33.68917,121.821,449,,21,-33.67983,121.82717,460,
YEUO,,,Unknown,,,,,,,,,,
YEVD,4265,60,Hard,18,-29.09083,153.41817,20,131,36,-29.10117,153.4165,20,328
YEXM,,,Soft,,,,,,,,,,
YFBS,4029,60,Hard,09,-33.36183,147.92117,760,,27,-33.3635,147.93417,760,
YFDF,7546,98,Hard,12,-22.2855,119.42917,1565,,30,-22.29717,119.44767,1514,
YFDN,,,Unknown,,,,,,,,,,
YFLI,5643,98,Unknown,14,-40.0825,147.98217,17,,32,-40.095,147.994,19,
YFLI,3510,98,Unknown,05,-40.0945,147.993,16,,23,-40.09,148.00367,34,184
YFRG,,,Unknown,,,,,,,,,,
YFRT,4984,148,Hard,18,-30.83267,128.11283,509,,36,-30.84633,128.113,511,
YFRT,4426,148,Unknown,09,-30.8365,128.10967,510,,27,-30.83733,128.12383,503,
YFTA,5020,98,Soft,15,-32.5765,119.70333,1356,,33,-32.58783,119.7125,1354,
YFTZ,4265,98,Hard,01,-18.18917,125.558,363,,19,-18.178,125.56167,363,
YGAD,,,Unknown,,,,,,,,,,
YGAW,,,Unknown,,,,,,,,,,
YGAY,4150,59,Hard,06,-25.61817,151.61517,369,,24,-25.61333,151.62667,358,
YGBI,,,Unknown,,,,,,,,,,
YGDA,3333,60,Soft,12,-29.06983,147.38083,459,,30,-29.07583,147.38883,459,
YGDH,5400,98,Hard,11,-30.95367,150.24067,859,,29,-30.96167,150.25517,863,
YGDI,4396,98,Hard,04,-28.527,150.3155,711,,22,-28.518,150.32467,710,
YGDI,2608,98,Unknown,12,-28.52067,150.31783,711,,30,-28.5255,150.324,713,
YGDO,,,Unknown,,,,,,,,,,
YGDS,,,Unknown,,,,,,,,,,
YGEL,6499,148,Hard,03,-28.8045,114.70333,98,,21,-28.7875,114.70983,120,
YGEL,2953,59,Unknown,08,-28.788,114.6995,113,,26,-28.7865,114.70867,121,
YGEL,2769,59,Unknown,14,-28.788,114.7005,112,,32,-28.79417,114.70567,110,
YGFN,5607,98,Hard,18,-29.74717,153.032,63,,36,-29.7625,153.0305,106,
YGGE,,,Soft,,,,,,,,,,
YGGI,,,Soft,,,,,,,,,,
YGIA,,,Unknown,,,,,,,,,,
YGIB,3498,98,Unknown,07,-16.41983,126.441,1655,,25,-16.41733,126.45067,1668,
YGIG,5997,148,Hard,08,-31.4665,115.85367,247,,26,-31.46217,115.87233,243,
YGIL,,,Unknown,,,,,,,,,,
YGKL,,,Unknown,,,,,,,,,,
YGLA,6299,148,Hard,10,-23.867,151.217,59,345,28,-23.872,151.23233,40,591
YGLB,4209,98,Hard,04,-34.81317,149.72167,2141,,22,-34.8055,149.732,2089,
YGLG,,,Unknown,,,,,,,,,,
YGLI,5499,98,Hard,10,-29.67333,151.68017,3414,,28,-29.6775,151.69683,3423,
YGLI,4915,98,Unknown,14,-29.667,151.68617,3426,,32,-29.67917,151.693,3433,
YGLO,,,Unknown,,,,,,,,,,
YGLS,,,Unknown,,,,,,,,,,
YGNW,,,Hard,,,,,,,,,,
YGON,,,Soft,,,,,,,,,,
YGPT,4314,98,Hard,04,-11.40467,130.42133,90,,22,-11.39583,130.42933,90,
YGRL,,,Hard,,,,,,,,,,
YGTE,6237,98,Hard,10,-13.971,136.44983,30,,28,-13.97383,136.46733,51,
YGTH,4931,98,Hard,06,-34.2565,146.05383,431,,24,-34.251,146.06867,445,
YGTN,3799,59,Hard,06,-18.305,143.52583,995,,24,-18.30033,143.53583,995,
YGTO,,,Unknown,,,,,,,,,,
YGWA,,,Unknown,,,,,,,,,,
YGYM,4600,59,Hard,14,-26.27833,152.695,260,,32,-26.28883,152.70217,260,
YHAA,,,Unknown,,,,,,,,,,
YHAE,,,Soft,,,,,,,,,,
YHAW,,,Soft,,,,,,,,,,
YHAY,4800,98,Hard,04,-34.53733,144.824,303,,22,-34.52783,144.835,303,
YHAY,3740,98,Unknown,15,-34.52383,144.827,305,,33,-34.53317,144.83233,304,
YHBA,6562,98,Hard,11,-25.3155,152.8715,55,,29,-25.32417,152.889,51,
YHBK,,,Unknown,,,,,,,,,,
YHEC,,,Unknown,,,,,,,,,,
YHID,4557,98,Hard,08,-10.58667,142.28117,12,,26,-10.58567,142.29267,23,459
YHID,4052,75,Unknown,14,-10.581,142.28883,8,,32,-10.5895,142.296,43,
YHLC,4839,98,Hard,04,-18.241,127.66133,1338,,22,-18.23133,127.671,1328,
YHLC,3104,59,Unknown,08,-18.23567,127.66333,1344,,26,-18.235,127.672,1318,
YHLS,4262,60,Hard,06,-33.49767,145.5155,403,,24,-33.494,145.52883,403,
YHMB,,,Unknown,,,,,,,,,,
YHML,4606,98,Hard,17,-37.64133,142.06183,764,,35,-37.654,142.06183,781,
YHML,4045,98,Unknown,10,-37.646,142.05933,776,,28,-37.65033,142.07217,799,
YHOO,,,Hard,,,,,,,,,,
YHOT,4762,98,Hard,11,-37.045,147.32783,4259,,29,-37.05117,147.34217,4229,
YHPN,3730,60,Hard,01,-35.71967,142.35833,256,88,19,-35.7105,142.3625,256,
YHRD,,,Unknown,,,,,,,,,,
YHSM,4337,98,Hard,08,-36.66883,142.17083,438,,26,-36.66883,142.1855,445,
YHSM,2621,60,Unknown,17,-36.669,142.172,438,,35,-36.67617,142.172,438,
YHUG,5394,98,Hard,12,-20.80833,144.21867,1029,,30,-20.81733,144.23117,1040,
YHUG,3051,59,Unknown,06,-20.8185,144.218,1032,,24,-20.815,144.226,1033,
YIDK,,,Unknown,,,,,,,,,,
YIFL,4439,98,Hard,14,-17.55417,146.007,45,,32,-17.56367,146.01517,37,
YIFY,,,Unknown,,,,,,,,,,
YIGM,5006,98,Hard,05,-18.66783,146.1405,49,,23,-18.66067,146.1525,49,117
YIKM,,,Unknown,,,,,,,,,,
YIMB,,,Soft,,,,,,,,,,
YIMT,,,Unknown,,,,,,,,,,
YINJ,,,Unknown,,,,,,,,,,
YINN,,,Unknown,,,,,,,,,,
YISF,4498,100,Hard,14,-24.25167,144.4225,694,,32,-24.26217,144.42967,694,
YITT,,,Soft,,,,,,,,,,
YIVL,6936,98,Hard,16,-29.87867,151.1435,2594,,34,-29.8975,151.147,2667,
YIVL,2297,60,Unknown,04,-29.89317,151.1385,2667,,22,-29.88933,151.14417,2667,
YIVO,4088,60,Hard,16,-32.87783,144.3075,330,,34,-32.88883,144.30917,330,
YJAB,4670,100,Hard,09,-12.6575,132.888,85,,27,-12.65867,132.90117,85,
YJBY,5000,150,Hard,15,-35.14333,150.696,200,,33,-35.15667,150.70017,200,
YJBY,4800,150,Unknown,08,-35.14667,150.68833,200,,26,-35.14767,150.70433,200,
YJDA,,,Unknown,,,,,,,,,,
YJER,,,Unknown,,,,,,,,,,
YJIN,,,Unknown,,,,,,,,,,
YJLC,4600,98,Hard,10,-20.66633,141.712,402,,28,-20.67017,141.72483,402,
YJNB,,,Unknown,,,,,,,,,,
YJST,,,Unknown,,,,,,,,,,
YJUN,6890,98,Hard,08,-26.423,120.5675,1845,,26,-26.42083,120.58867,1845,
YJVS,,,Unknown,,,,,,,,,,
YKAL,,,Soft,,,,,,,,,,
YKAT,,,Unknown,,,,,,,,,,
YKBL,,,Soft,,,,,,,,,,
YKBN,,,Unknown,,,,,,,,,,
YKBR,5246,60,Hard,18,-27.68367,114.26067,515,,36,-27.698,114.26033,515,
YKBY,4432,59,Hard,13,-32.8325,134.28717,69,,31,-32.84033,134.29833,69,
YKBY,2559,59,Unknown,05,-32.8445,134.29367,69,,23,-32.84017,134.30033,69,
YKCS,,,Unknown,,,,,,,,,,
YKDI,,,Hard,,,,,,,,,,
YKDM,,,Unknown,,,,,,,,,,
YKDN,,,Soft,,,,,,,,,,
YKEP,,,Unknown,,,,,,,,,,
YKER,3501,60,Hard,14,-35.74783,143.93417,254,,32,-35.75617,143.94033,254,
YKER,2267,60,Unknown,05,-35.75267,143.93917,254,,23,-35.7495,143.94567,254,
YKID,,,Unknown,,,,,,,,,,
YKIG,,,Unknown,,,,,,,,,,
YKII,5200,98,Soft,10,-39.8735,143.8705,107,,28,-39.87933,143.88733,103,
YKII,3625,98,Unknown,17,-39.87283,143.88483,96,,35,-39.88283,143.88383,132,
YKII,2625,98,Unknown,06,-39.87783,143.879,124,,24,-39.87583,143.888,90,
YKKG,,,Hard,,,,,,,,,,
YKLE,,,Unknown,,,,,,,,,,
YKMB,,,Soft,,,,,,,,,,
YKML,,,Unknown,,,,,,,,,,
YKMP,5413,98,Hard,04,-31.0765,152.7585,54,,22,-31.06783,152.7725,54,
YKMP,2014,60,Unknown,16,-31.07017,152.76883,54,479,34,-31.07433,152.76967,54,
YKNG,,,Hard,,,,,,,,,,
YKOW,4528,98,Hard,12,-15.4825,141.747,35,,30,-15.48867,141.75817,35,
YKRY,5249,98,Hard,16,-26.5725,151.838,1472,,34,-26.58667,151.84117,1465,
YKRY,4275,98,Unknown,05,-26.5855,151.836,1432,,23,-26.5805,151.84783,1492,
YKSC,4600,98,Hard,01,-35.72117,137.523,22,,19,-35.70933,137.5285,21,
YKSC,3819,98,Unknown,15,-35.71067,137.51867,22,,33,-35.72033,137.52383,21,
YKSC,3720,98,Unknown,06,-35.71483,137.51683,24,,24,-35.71083,137.52833,20,
YKTN,,,Unknown,,,,,,,,,,
YKUB,3550,60,Hard,11,-10.215,142.21417,15,134,29,-10.2185,142.2225,15,134
YLAH,,,Unknown,,,,,,,,,,
YLAK,,,Unknown,,,,,,,,,,
YLAW,,,Soft,,,,,,,,,,
YLBD,,,Hard,,,,,,,,,,
YLCG,,,Soft,,,,,,,,,,
YLCS,,,Unknown,,,,,,,,,,
YLEC,5610,98,Hard,11,-30.59567,138.42417,853,,29,-30.60333,138.43967,850,
YLEC,3999,59,Unknown,02,-30.60367,138.42033,851,,20,-30.59417,138.42667,849,
YLED,,,Soft,,,,,,,,,,
YLEG,3032,59,Hard,04,-38.49883,145.8575,263,,22,-38.493,145.86517,263,
YLEG,2195,59,Unknown,18,-38.49333,145.86117,263,,36,-38.49933,145.86,263,
YLEO,6621,98,Hard,04,-28.88917,121.30617,1205,,22,-28.8745,121.3185,1217,
YLEO,3740,98,Unknown,12,-28.875,121.30833,1206,,30,-28.88217,121.317,1213,
YLEV,3494,60,Soft,08,-12.49833,135.80183,256,,26,-12.49767,135.811,256,
YLGU,,,Unknown,,,,,,,,,,
YLHI,2907,98,Hard,10,-31.53667,159.07167,15,,28,-31.54,159.08017,17,
YLHR,4921,98,Hard,12,-12.78367,143.30067,46,,30,-12.7915,143.312,76,
YLIL,,,Unknown,,,,,,,,,,
YLIS,5404,98,Hard,15,-28.824,153.25517,35,,33,-28.83767,153.26183,31,
YLKE,,,Unknown,,,,,,,,,,
YLLE,5906,98,Hard,03,-27.412,141.8035,373,,21,-27.3995,141.81517,379,
YLMU,,,Soft,,,,,,,,,,
YLOH,,,Unknown,,,,,,,,,,
YLOR,,,Unknown,,,,,,,,,,
YLOX,,,Soft,,,,,,,,,,
YLRD,4613,60,Hard,10,-29.4505,147.96983,540,,28,-29.45483,147.9835,540,
YLRD,2405,98,Unknown,04,-29.45517,147.98067,540,,22,-29.45067,147.98617,540,
YLRE,6352,98,Hard,04,-23.438,144.27067,626,,22,-23.426,144.2845,624,
YLST,5906,98,Hard,10,-27.84267,120.69517,1626,,28,-27.8455,120.71283,1630,99
YLTN,5906,98,Hard,07,-28.61683,122.42117,1512,,25,-28.61117,122.43833,1530,
YLTN,3015,98,Unknown,16,-28.60633,122.42267,1510,,34,-28.614,122.42633,1517,
YLTV,4692,75,Hard,03,-38.2155,146.465,165,,21,-38.2065,146.47667,180,
YLTV,3015,60,Unknown,09,-38.20517,146.46533,157,,27,-38.20617,146.47583,179,
YLZI,3038,49,Hard,12,-14.6745,145.44967,70,,30,-14.67883,145.457,70,
YMAA,,,Unknown,,,,,,,,,,
YMAV,10000,148,Hard,18,-38.02717,144.4695,32,,36,-38.0545,144.46483,34,
YMAY,6234,98,Hard,07,-36.068,146.94883,539,,25,-36.0655,146.96967,531,
YMBA,4938,98,Hard,10,-17.06783,145.41733,1532,,28,-17.0725,145.43067,1560,
YMBD,,,Unknown,,,,,,,,,,
YMBL,,,Soft,,,,,,,,,,
YMBT,,,Soft,,,,,,,,,,
YMBU,3413,100,Soft,17,-37.0305,143.70683,766,,35,-37.03983,143.70817,766,
YMBU,1908,100,Unknown,06,-37.03283,143.70933,766,,24,-37.03083,143.7155,766,
YMCL,,,Unknown,,,,,,,,,,
YMCO,,,Hard,,,,,,,,,,
YMCT,3937,60,Hard,08,-37.58283,140.36067,56,,26,-37.582,140.37433,56,
YMDA,,,Unknown,,,,,,,,,,
YMDG,5705,98,Hard,04,-32.56967,149.602,1506,,22,-32.56017,149.61667,1544,
YMDG,3527,98,Unknown,16,-32.55517,149.61133,1545,,34,-32.56467,149.61317,1528,
YMDN,,,Unknown,,,,,,,,,,
YMDR,,,Soft,,,,,,,,,,
YMDY,,,Unknown,,,,,,,,,,
YMEI,,,Unknown,,,,,,,,,,
YMEK,7155,150,Hard,09,-26.60833,118.53117,1691,,27,-26.60667,118.553,1681,
YMEK,3903,90,Unknown,15,-26.6085,118.54817,1687,,33,-26.61667,118.556,1693,
YMEL,,,Unknown,,,,,,,,,,
YMEN,6302,148,Hard,08,-37.73133,144.89283,239,,26,-37.73083,144.91467,239,
YMEN,5200,148,Unknown,17,-37.7205,144.90083,239,,35,-37.73467,144.9015,235,
YMER,5256,98,Hard,03,-36.91283,149.89667,6,,21,-36.90083,149.90667,7,
YMES,8189,150,Hard,04,-38.10733,147.137,20,,22,-38.09417,147.16,14,
YMES,7513,150,Unknown,09,-38.097,147.12617,23,,27,-38.10033,147.152,14,
YMFD,,,Unknown,,,,,,,,,,
YMGB,4626,60,Hard,11,-12.09217,134.88733,53,,29,-12.09783,134.899,53,
YMGD,5020,98,Hard,14,-12.05267,134.23267,110,,32,-12.06433,134.24,123,
YMGI,,,Unknown,,,,,,,,,,
YMGR,,,Unknown,,,,,,,,,,
YMGT,3619,49,Hard,02,-33.92133,115.098,374,,20,-33.912,115.102,374,
YMHB,6500,148,Hard,12,-42.83083,147.50133,12,,30,-42.84383,147.518,13,
YMHL,,,Unknown,,,,,,,,,,
YMHO,,,Unknown,,,,,,,,,,
YMHU,8202,75,Hard,06,-16.44883,136.06417,136,,24,-16.44083,136.086,129,
YMHW,,,Unknown,,,,,,,,,,
YMIA,6004,148,Hard,09,-34.2265,142.07383,166,,27,-34.22967,142.09333,160,
